,movie_id,title,studio,budget
0,tt0472033,9,Focus,30000000
1,tt0478087,21,Sony Pictures/Columbia,35000000
2,tt0453562,42,WB,40000000
3,tt0416449,300,WB,65000000
4,tt0450385,1408,MGM/W,25000000
5,tt1190080,2012,Sony Pictures/Columbia,200000000
6,tt1022603,(500) Days of Summer,Fox Searchlight,7500000
7,tt1179933,10 Cloverfield Lane,Paramount,15000000
8,tt1160368,12 Rounds,20th Century Fox,22000000
9,tt1413492,12 Strong,WB,35000000
10,tt2024544,12 Years a Slave,Fox Searchlight,20000000
11,tt1542344,127 Hours,Fox Searchlight,18000000
12,tt0450232,16 Blocks,WB,52000000
13,tt0974661,17 Again,WB (NL),20000000
15,tt1272878,2 Guns,Universal,61000000
16,tt4385888,20th Century Women,A24,7000000
17,tt1232829,21 Jump Street,Sony Pictures/Columbia,42000000
18,tt2294449,22 Jump Street,Sony Pictures/Columbia,50000000
19,tt0988595,27 Dresses,20th Century Fox,30000000
20,tt0463854,28 Weeks Later,FoxA,15000000
21,tt2172934,3 Days to Kill,Rela.,28000000
22,tt0389722,30 Days of Night,Sony Pictures/Columbia,30000000
23,tt1622547,30 Minutes or Less,Sony Pictures/Columbia,28000000
24,tt2932536,47 Meters Down,ENTMP,5300000
25,tt1335975,47 Ronin,Universal,175000000
26,tt1306980,50/50,Sum.,8000000
27,tt0411061,88 Minutes,Sony Pictures/Columbia,30000000
28,tt2891174,99 Homes,BG,8000000
29,tt6359956,A Bad Moms Christmas,STX,28000000
31,tt4731136,A Cure for Wellness,Fox,40000000
32,tt1753383,A Dog's Purpose,Universal,22000000
33,tt1606378,A Good Day to Die Hard,20th Century Fox,92000000
34,tt2243537,A Haunted House,ORF,2500000
35,tt0399146,A History of Violence,NL,32000000
36,tt0391304,A Lot Like Love,BUENA VISTA,30000000
37,tt0829459,A Mighty Heart,ParV,16000000
38,tt2557490,A Million Ways to Die in the West,Universal,40000000
39,tt2937898,A Most Violent Year,A24,20000000
40,tt1972571,A Most Wanted Man,RAtt.,15000000
41,tt0971209,A Perfect Getaway,Universal,14000000
42,tt6644200,A Quiet Place,Paramount,17000000
43,tt0405296,A Scanner Darkly,WIP,8700000
44,tt1019452,A Serious Man,Focus,7000000
45,tt7040874,A Simple Favor,LIONSGATE,20000000
46,tt1315981,A Single Man,Wein.,7000000
47,tt0763831,A Thousand Words,P/DW,40000000
48,tt1268799,A Very Harold & Kumar 3D Christmas,WB,19000000
49,tt0365907,A Walk Among the Tombstones,Universal,28000000
50,tt1620680,A Wrinkle in Time,BUENA VISTA,100000000
51,tt1600195,Abduction,LIONSGATE,35000000
52,tt2194499,About Time,Universal,12000000
53,tt1611224,Abraham Lincoln: Vampire Hunter,20th Century Fox,69000000
55,tt0384793,Accepted,Universal,23000000
56,tt0445922,Across the Universe,SonR,45000000
57,tt1591479,Act of Valor,Rela.,12000000
58,tt1814621,Admission,Focus,13000000
59,tt6306064,Adrift,STX,35000000
61,tt4126476,After,,14000000
62,tt1815862,After Earth,Sony Pictures/Columbia,130000000
63,tt1712170,Alex Cross,LG/S,35000000
64,tt1698641,"Alexander and the Terrible, Horrible, No Goo",BUENA VISTA,28000000
65,tt2567026,Alice Through the Looking Glass,BUENA VISTA,170000000
66,tt2316204,Alien: Covenant,Fox,97000000
67,tt0437086,Alita: Battle Angel,Fox,170000000
68,tt0881891,All About Steve,20th Century Fox,15000000
69,tt5294550,All the Money in the World,TriS,50000000
70,tt3640424,Allied,Paramount,85000000
71,tt1243974,Aloha,Sony Pictures/Columbia,37000000
72,tt0369226,Alone in the Dark,Lions,20000000
73,tt4244998,Alpha,Studio 8,51000000
75,tt0952640,Alvin and the Chipmunks,20th Century Fox,60000000
76,tt1615918,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,75000000
77,tt1231580,Alvin and the Chipmunks: The Squeakquel,20th Century Fox,75000000
78,tt1961175,American Assassin,LIONSGATE,33000000
79,tt0765429,American Gangster,Universal,100000000
80,tt1800241,American Hustle,Sony Pictures/Columbia,40000000
81,tt3532216,American Made,Universal,50000000
82,tt1605630,American Reunion,Universal,50000000
83,tt2179136,American Sniper,WB,58800000
84,tt3316948,American Ultra,LIONSGATE,28000000
85,tt1174732,An Education,SPC,7500000
86,tt1229340,Anchorman 2: The Legend Continues,Paramount,50000000
87,tt0808151,Angels & Demons,Sony Pictures/Columbia,150000000
88,tt3322940,Annabelle,WB (NL),6500000
89,tt5140878,Annabelle: Creation,WB (NL),15000000
90,tt2798920,Annihilation,Paramount,40000000
91,tt1431181,Another Year,SPC,8000000
92,tt0478970,Ant-Man,BUENA VISTA,130000000
93,tt5095030,Ant-Man and the Wasp,BUENA VISTA,162000000
94,tt0472043,Apocalypto,BUENA VISTA,40000000
95,tt1772240,Apollo 18,W/Dim.,5000000
96,tt0800308,Appaloosa,WB (NL),20000000
97,tt1477834,Aquaman,WB,160000000
98,tt0429591,Aquamarine,20th Century Fox,12000000
99,tt0368578,Are We There Yet?,SonR,32000000
100,tt1024648,Argo,WB,44500000
101,tt0913354,Armored,SGem,20000000
102,tt2543164,Arrival,Paramount,47000000
103,tt1430607,Arthur Christmas,Sony Pictures/Columbia,100000000
104,tt2094766,Assassin's Creed,Fox,125000000
105,tt0398712,Assault on Precinct 13,Rog.,30000000
106,tt0375568,Astro Boy,Sum.,65000000
107,tt2406566,Atomic Blonde,Focus,30000000
108,tt0783233,Atonement,Focus,30000000
109,tt0426931,August Rush,WB,30000000
110,tt1322269,August: Osage County,Wein.,25000000
111,tt0455824,Australia,20th Century Fox,130000000
112,tt0499549,Avatar,20th Century Fox,237000000
113,tt2395427,Avengers: Age of Ultron,BUENA VISTA,250000000
114,tt4154796,Avengers: Endgame,BUENA VISTA,356000000
115,tt4154756,Avengers: Infinity War,BUENA VISTA,321000000
116,tt0211933,Awake,MGM/W,8600000
117,tt1176740,Away We Go,Focus,17000000
119,tt0449467,Babel,ParV,25000000
120,tt3890160,Baby Driver,TriS,34000000
121,tt0871426,Baby Mama,Universal,30000000
122,tt0364970,Babylon A.D.,20th Century Fox,70000000
123,tt4651520,Bad Moms,STX,20000000
124,tt1284575,Bad Teacher,Sony Pictures/Columbia,20000000
125,tt2170299,Bad Words,Focus,10000000
129,tt0814022,Bangkok Dangerous,LIONSGATE,45000000
130,tt0430912,Basic Instinct 2,Sony Pictures/Columbia,70000000
131,tt0372784,Batman Begins,WB,150000000
132,tt2975590,Batman v Superman: Dawn of Justice,WB,250000000
133,tt4853102,Batman: The Killing Joke,Fathom,3500000
134,tt4622512,Battle of the Sexes,Fox Searchlight,25000000
135,tt1440129,Battleship,Universal,209000000
136,tt1469304,Baywatch,Paramount,69000000
137,tt0377471,Be Cool,MGM,53000000
138,tt1152398,Beastly,CBS,17000000
140,tt0416508,Becoming Jane,Mira.,16500000
141,tt0960731,Bedtime Stories,BUENA VISTA,80000000
142,tt0389790,Bee Movie,P/DW,150000000
143,tt0486551,Beerfest,WB,17500000
144,tt1691916,Before I Fall,ORF,5000000
145,tt2209418,Before Midnight,SPC,3000000
146,tt0292963,Before the Devil Knows You're Dead,Think,18000000
147,tt1980929,Begin Again,Wein.,8000000
