item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1063,tt2452042,The Peanuts Movie,2015,2016,88,G,7.1,39900,188,238,99000000,130178411,246233113,USA,Fox,Steve Martino,Animation,Comedy,Family,Trombone Shorty,Rebecca Bloom,Anastasia Bredikhina,2195,6,1,5000.0,17995000.0,15841.0,13646.0
I-1061,tt3659388,The Martian,2015,2016,144,PG-13,8.0,701756,1231,616,108000000,228433663,630161890,UK,Fox,Ridley Scott,Adventure,Drama,Sci-Fi,Matt Damon,Jessica Chastain,Kristen Wiig,2600,6,10,4500.0,16344000.0,14387.0,11787.0
I-1059,tt1398426,Straight Outta Compton,2015,2016,147,R,7.9,168582,376,381,28000000,161197785,201634991,USA,Universal,F. Gary Gray,Biography,Drama,History,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,2600,6,10,4500.0,15975000.0,14062.0,11462.0
I-1062,tt2379713,Spectre,2015,2016,148,PG-13,6.8,359445,1101,636,245000000,200074609,880674609,UK,Sony Pictures/Columbia,Sam Mendes,Action,Adventure,Thriller,Daniel Craig,Christoph Waltz,L��a Seydoux,2295,10,1,4000.0,14644000.0,12891.0,10596.0
I-1060,tt2510894,Hotel Transylvania 2,2015,2016,89,PG,6.7,96526,148,177,80000000,169700110,474800000,USA,Sony Pictures/Columbia,Genndy Tartakovsk,Animation,Comedy,Family,Adam Sandler,Andy Samberg,Selena Gomez,2295,10,1,4000.0,14432000.0,12704.0,10409.0
I-1093,tt2380307,Coco,2017,2018,105,PG,8.4,305662,930,395,175000000,209726015,807082196,USA,BUENA VISTA,Lee Unkrich,Animation,Adventure,Family,Anthony Gonzalez,Gael Garc��a Bernal,Benjamin Bratt,2700,10,10,7200.0,12657600.0,11142.0,8442.0
I-1048,tt2395427,Avengers: Age of Ultron,2015,2016,141,PG-13,7.3,688963,1242,682,250000000,459005868,1402805868,USA,BUENA VISTA,Joss Whedon,Action,Adventure,Sci-Fi,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,2295,10,1,5500.0,11137500.0,9804.0,7509.0
I-1044,tt2310332,The Hobbit: The Battle of the Five Armies,2014,2015,144,PG-13,7.4,447259,869,444,250000000,255119788,956019788,New,WB (NL),Peter Jackson,Adventure,Fantasy,ETC,Ian McKellen,Martin Freeman,Richard Armitage,2195,6,1,4500.0,9729000.0,8564.0,6369.0
I-1054,tt2096673,Inside Out,2015,2016,95,PG,8.2,556161,972,579,175000000,356461711,857611174,USA,BUENA VISTA,Pete Docter,Animation,Adventure,Comedy,Amy Poehler,Phyllis Smith,Richard Kind,2700,10,10,7200.0,9957600.0,8765.0,6065.0
I-1052,tt3079380,Spy,2015,2016,119,R,7.0,217805,479,380,65000000,110825712,235666219,USA,Fox,Paul Feig,Action,Comedy,Crime,Jude Law,Raad Rawi,Melissa McCarthy,2195,6,1,4500.0,8950500.0,7879.0,5684.0
I-1069,tt2948356,Zootopia,2016,2017,108,PG,8.0,396148,642,474,150000000,341268248,1023784195,USA,BUENA VISTA,Byron Howard,Animation,Adventure,Comedy,Ginnifer Goodwin,Jason Bateman,Idris Elba,2700,10,10,5500.0,9383000.0,8260.0,5560.0
I-1078,tt1211837,Doctor Strange,2016,2017,115,PG-13,7.5,541463,880,571,165000000,232641920,677718395,USA,BUENA VISTA,Scott Derrickson,Action,Adventure,Fantasy,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,2700,10,10,5500.0,9284000.0,8173.0,5473.0
I-1058,tt2381249,Mission: Impossible - Rogue Nation,2015,2016,131,PG-13,7.4,319915,517,509,150000000,195042377,682714267,USA,Paramount,Christopher McQua,Action,Adventure,Thriller,Tom Cruise,Jeremy Renner,Simon Pegg,2295,10,1,5000.0,8270000.0,7280.0,4985.0
I-1057,tt3152624,Trainwreck,2015,2016,125,R,6.2,123891,393,352,35000000,110212700,140795793,USA,Universal,Judd Apatow,Comedy,Drama,Romance,Colin Quinn,Devin Fabry,Carla Oudin,2295,10,1,4500.0,7974000.0,7019.0,4724.0
I-1080,tt3521164,Moana,2016,2017,107,PG,7.6,236171,464,384,150000000,248757044,690845539,USA,BUENA VISTA,Ron Clements,Animation,Adventure,Comedy,Auli'i Cravalho,Dwayne Johnson,Rachel House,2700,10,10,5500.0,8294000.0,7301.0,4601.0
I-1077,tt1386697,Suicide Squad,2016,2017,123,PG-13,6.0,554092,2140,679,175000000,325100054,746846894,USA,WB,David Ayer,Action,Adventure,Fantasy,Will Smith,Jaime FitzSimons,Ike Barinholtz,2295,10,1,4500.0,7668000.0,6750.0,4455.0
I-1022,tt1228705,Iron Man 2,2010,2015,124,PG-13,7.0,677087,821,483,200000000,312433331,623933331,USA,Paramount,Jon Favreau,Action,Adventure,Sci-Fi,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,2295,10,1,5500.0,7661500.0,6744.0,4449.0
I-1045,tt2179136,American Sniper,2014,2015,133,R,7.3,410496,1001,518,58800000,350126372,547426372,USA,WB,Clint Eastwood,Action,Biography,Drama,Bradley Cooper,Kyle Gallner,Cole Konis,2295,10,1,4500.0,7600500.0,6691.0,4396.0
I-1094,tt2283362,Jumanji: Welcome to the Jungle,2017,2018,119,PG-13,6.9,258945,762,313,90000000,404540171,962102237,USA,Sony Pictures/Columbia,Jake Kasdan,Action,Adventure,Comedy,Dwayne Johnson,Kevin Hart,Jack Black,2295,10,1,4000.0,7364000.0,6482.0,4187.0
I-1056,tt0478970,Ant-Man,2015,2016,117,PG-13,7.3,523298,683,567,130000000,180202163,519311965,USA,BUENA VISTA,Peyton Reed,Action,Adventure,Comedy,Paul Rudd,Michael Douglas,Evangeline Lilly,2295,10,1,5500.0,7265500.0,6396.0,4101.0
I-1041,tt1843866,Captain America: The Winter Soldier,2014,2015,136,PG-13,7.8,687645,879,604,170000000,259766572,714421503,USA,BUENA VISTA,Anthony Russo,Action,Adventure,Sci-Fi,Chris Evans,Samuel L. Jackson,Scarlett Johansson,2700,10,10,5500.0,7705500.0,6783.0,4083.0
I-1068,tt1431045,Deadpool,2016,2017,108,R,8.0,845841,1409,653,58000000,363070709,782612155,USA,Fox,Tim Miller,Action,Adventure,Comedy,Ryan Reynolds,Karan Soni,Ed Skrein,2600,6,10,4500.0,7560000.0,6655.0,4055.0
I-1012,tt0367882,Indiana Jones and the Kingdom of the Crystal,2008,2015,122,PG-13,6.1,401026,2115,467,185000000,317101119,786636033,USA,Paramount,Steven Spielberg,Action,Adventure,ETC,Harrison Ford,Cate Blanchett,Karen Allen,2295,10,1,5000.0,7210000.0,6347.0,4052.0
I-1066,tt1528854,Daddy's Home,2015,2016,96,PG-13,6.2,100146,184,171,50000000,150357137,242786137,USA,Paramount,Sean Anders,Comedy,Family,ETC,Will Ferrell,Mark Wahlberg,Linda Cardellini,2295,10,1,5000.0,7180000.0,6320.0,4025.0
I-1042,tt2015381,Guardians of the Galaxy,2014,2015,121,PG-13,8.1,980782,1327,707,170000000,333176600,772776600,USA,BUENA VISTA,James Gunn,Action,Adventure,Comedy,Chris Pratt,Zoe Saldana,Dave Bautista,2700,10,10,5500.0,7452500.0,6560.0,3860.0
I-1007,tt0449088,Pirates of the Caribbean: At World's End,2007,2015,169,PG-13,7.1,566300,1272,324,300000000,309420425,960996492,USA,BUENA VISTA,Gore Verbinski,Action,Adventure,Fantasy,Johnny Depp,Geoffrey Rush,Orlando Bloom,2295,10,1,5500.0,6946500.0,6115.0,3820.0
I-1050,tt2848292,Pitch Perfect 2,2015,2016,115,PG-13,6.4,133778,217,238,29000000,184296230,287144079,USA,Universal,Elizabeth Banks,Comedy,Music,ETC,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,2195,6,1,4500.0,6655500.0,5859.0,3664.0
I-1051,tt2126355,San Andreas,2015,2016,114,PG-13,6.0,197807,582,392,110000000,155190832,473990832,USA,WB (NL),Brad Peyton,Action,Adventure,Drama,Dwayne Johnson,Carla Gugino,Alexandra Daddario,2195,6,1,4500.0,6520500.0,5740.0,3545.0
