customer_id,gender,age,age_group,married,kids_under12,area,subs_start_year,download_count,total_price,class
C5001,F,51,50대,M,N,용산구,2015,55,262000.0,Platinum
C5002,M,22,20대,S,N,강남구,2015,23,102200.0,Silver
C5003,F,33,30대,M,Y,서대문구,2015,55,270800.0,Platinum
C5004,F,24,20대,M,N,서대문구,2015,41,200400.0,Gold
C5005,F,35,30대,M,N,마포구,2015,34,165900.0,Gold
C5006,F,46,40대,S,N,강남구,2015,48,223000.0,Gold
C5007,F,37,30대,M,N,광진구,2015,50,249200.0,Platinum
C5008,M,38,30대,M,Y,강남구,2015,87,395100.0,Platinum
C5009,M,39,30대,M,Y,양천구,2015,62,274700.0,Platinum
C5010,M,30,30대,M,N,동작구,2015,37,168600.0,Gold
C5011,F,51,50대,S,N,용산구,2015,45,219800.0,Gold
C5012,F,32,30대,M,Y,송파구,2015,51,240600.0,Platinum
C5013,F,43,40대,M,Y,양천구,2015,83,377800.0,Platinum
C5014,M,44,40대,M,Y,서대문구,2015,78,351300.0,Platinum
C5015,M,35,30대,S,N,마포구,2015,35,164600.0,Gold
C5016,M,46,40대,M,Y,동작구,2015,86,402600.0,Platinum
C5017,F,37,30대,M,N,광진구,2015,51,258300.0,Platinum
C5018,F,28,20대,S,N,동작구,2015,40,202500.0,Gold
C5019,F,65,60대,S,N,동작구,2015,48,238300.0,Platinum
C5020,M,30,30대,S,N,송파구,2015,42,203400.0,Gold
C5021,M,31,30대,M,Y,강남구,2015,75,334000.0,Platinum
C5022,M,52,50대,M,Y,동작구,2015,83,376700.0,Platinum
C5023,F,19,10대,S,N,송파구,2015,25,120600.0,Silver
C5024,F,44,40대,M,Y,서대문구,2015,83,375700.0,Platinum
C5025,M,25,20대,S,N,관악구,2015,29,139100.0,Silver
C5026,M,46,40대,S,N,양천구,2015,46,218300.0,Gold
C5027,F,57,50대,M,N,용산구,2015,49,241400.0,Platinum
C5028,M,38,30대,M,Y,강남구,2015,83,366300.0,Platinum
C5029,F,61,60대,M,N,서초구,2015,55,278200.0,Platinum
C5030,F,50,50대,M,N,양천구,2015,40,193600.0,Gold
C5031,F,21,20대,M,Y,마포구,2015,53,239700.0,Platinum
C5032,M,32,30대,S,N,강남구,2015,58,258600.0,Platinum
C5033,M,53,50대,M,N,동작구,2015,54,255400.0,Platinum
C5034,M,34,30대,M,Y,광진구,2015,74,327700.0,Platinum
C5035,F,45,40대,M,Y,서대문구,2015,90,395300.0,Platinum
C5036,M,36,30대,M,Y,용산구,2015,43,206100.0,Gold
C5037,M,47,40대,M,Y,서대문구,2015,80,363800.0,Platinum
C5038,F,48,40대,S,N,양천구,2015,39,188000.0,Gold
C5039,M,39,30대,M,Y,용산구,2015,98,444200.0,Platinum
C5040,M,20,20대,M,N,강남구,2015,63,291400.0,Platinum
C5041,F,21,20대,M,N,강남구,2015,62,292800.0,Platinum
C5042,F,22,20대,M,N,용산구,2015,63,293500.0,Platinum
C5043,M,23,20대,M,N,송파구,2015,47,215300.0,Gold
C5044,F,54,50대,M,N,마포구,2015,40,212100.0,Gold
C5045,M,35,30대,M,Y,양천구,2015,69,300400.0,Platinum
C5046,M,46,40대,S,N,강남구,2015,55,245200.0,Platinum
C5047,M,47,40대,M,N,용산구,2015,44,205900.0,Gold
C5048,M,38,30대,M,N,양천구,2015,43,211600.0,Gold
C5049,M,29,20대,M,Y,양천구,2015,72,323400.0,Platinum
C5050,M,50,50대,M,N,광진구,2015,45,218400.0,Gold
C5051,F,21,20대,S,N,용산구,2015,34,167300.0,Gold
C5052,M,22,20대,S,N,광진구,2015,41,202100.0,Gold
C5053,M,23,20대,M,N,용산구,2015,54,259700.0,Platinum
C5054,F,24,20대,M,N,용산구,2015,44,210200.0,Gold
C5055,F,25,20대,M,Y,송파구,2015,31,126700.0,Silver
C5056,F,36,30대,M,Y,서대문구,2015,83,358700.0,Platinum
C5057,F,47,40대,M,N,동작구,2015,51,246100.0,Platinum
C5058,M,28,20대,M,Y,강남구,2015,62,272300.0,Platinum
C5059,F,63,60대,S,N,용산구,2015,45,220600.0,Gold
C5060,F,30,30대,S,N,강남구,2015,39,188100.0,Gold
C5061,M,31,30대,M,Y,강남구,2015,61,271400.0,Platinum
C5062,F,42,40대,M,Y,마포구,2015,63,271700.0,Platinum
C5063,M,23,20대,S,N,서대문구,2015,45,224600.0,Gold
C5064,F,54,50대,M,N,양천구,2015,42,211400.0,Gold
C5065,M,45,40대,M,Y,용산구,2015,77,353200.0,Platinum
C5066,F,56,50대,S,N,강남구,2015,33,166100.0,Gold
C5067,M,37,30대,S,N,광진구,2015,50,234200.0,Platinum
C5068,F,48,40대,M,Y,동작구,2015,79,355400.0,Platinum
C5069,F,29,20대,M,Y,마포구,2015,69,298400.0,Platinum
C5070,F,40,40대,M,Y,관악구,2015,77,369000.0,Platinum
C5071,M,21,20대,S,N,용산구,2015,29,140500.0,Silver
C5072,M,22,20대,S,N,서초구,2015,46,217900.0,Gold
C5073,F,33,30대,M,N,서대문구,2015,50,241900.0,Platinum
C5074,M,34,30대,M,Y,송파구,2015,37,167500.0,Gold
C5075,F,35,30대,S,N,광진구,2015,57,250300.0,Platinum
C5076,F,36,30대,M,Y,송파구,2015,44,191400.0,Gold
C5077,M,27,20대,S,N,용산구,2015,38,169800.0,Gold
C5078,F,38,30대,M,N,송파구,2015,63,309500.0,Platinum
