movie_id,title,release_year,release_date,runtime,mpa_rating,mpa_rating_origin,imdb_score,votes,reviews_users,reviews_critics,income_usa,income_ww,theater_opening,theater_total,country_1,studio,director,awards,contract_price,studio_score,price_class,writer_1,actor_1,actor_2,actor_3,description,storyline,budget,Genre
tt0472033,9,2009.0,09-09-2009,79.0,PG-13,PG-13,7.1,127563.0,267.0,271.0,31749894,48428063,1661.0,2060.0,USA,Focus,Shane Acker,9 nominations.,2195.0,6.0,1.0,Pamela Pettler,Christopher Plummer,Martin Landau,John C. Reilly,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,"In a world destroyed in a war between man and machine, a hand-stitched doll with the number 9 written on its back comes to life. The world he has awakened in is frightening, but he quickly learns that he is not alone and that there are others like him, also with a single digit written on their back. The first one he encounters is 2 who tells him something of what happened to the world. 2 is also thrilled with the disk 9 is carrying, one with three unique symbols on the front. 9 soon learns that the disk and",30000000.0,Animation Action Adventure
tt0478087,21,2008.0,03-28-2008,123.0,PG-13,PG-13,6.8,216963.0,302.0,151.0,81159365,157927340,2648.0,2952.0,USA,Sony Pictures/Columbia,Robert Luketic,1 win & 5 nominations.,2295.0,10.0,1.0,Peter Steinfeld,Jim Sturgess,Kevin Spacey,Kate Bosworth,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.","Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being tra",35000000.0,Crime Drama History
tt0453562,42,2013.0,04-12-2013,128.0,PG-13,PG-13,7.5,79204.0,234.0,220.0,95020213,97470701,3003.0,3405.0,USA,WB,Brian Helgeland,3 wins & 20 nominations.,2700.0,10.0,10.0,Brian Helgeland,Chadwick Boseman,Harrison Ford,Nicole Beharie,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.","In 1946, Jackie Robinson is a Negro League baseball player who never takes racism lying down. Branch Rickey is a Major League team executive with a bold idea. To that end, Rickey recruits Robinson to break the unspoken color line as the first modern African American Major League player. As both anticipate, this proves a major challenge for Robinson and his family as they endure unrelenting racist hostility on and off the field, from player and fan alike. As Jackie struggles against his nature to endure such",40000000.0,Biography Drama Sport
tt0416449,300,2006.0,03-09-2007,117.0,R,R,7.7,702777.0,2142.0,463.0,210614939,456068181,3103.0,3280.0,USA,WB,Zack Snyder,17 wins & 45 nominations.,2700.0,10.0,10.0,Zack Snyder,Gerard Butler,Lena Headey,Dominic West,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes led a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, 700 Thespians, and 400 Thebans. Xerxes waited for 10 days for King Leonidas to surrender or withdraw but left w",65000000.0,Action Drama
tt0450385,1408,2007.0,06-22-2007,104.0,PG-13,PG-13,6.8,245370.0,622.0,306.0,71985628,132033383,2678.0,2733.0,USA,MGM/W,Mikael Hfstr,4 wins & 10 nominations.,2145.0,4.0,1.0,Matt Greenberg,John Cusack,Tony Shalhoub,Len Cariou,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","The cynical and skeptical writer Mike Enslin writes books evaluating supernatural phenomena in hotels, graveyards and other haunted places, usually debunking the mystery. While writing his latest book, he travels from Los Angeles to New York to spend one night in the Dolphin Hotel's posessed room 1408, which is permanently unavailable for guests. The reluctant manager Mr. Gerald Olin objects to his request and offers an upgrade, expensive booze and finally relates the death of more than fifty guests over de",25000000.0,Fantasy Horror Mystery
tt1190080,2012,2009.0,11-13-2009,158.0,PG-13,PG-13,5.8,334427.0,1135.0,226.0,166112167,788550900,3404.0,3444.0,USA,Sony Pictures/Columbia,Roland Emmerich,5 wins & 21 nominations.,2295.0,10.0,1.0,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape th",200000000.0,Action Adventure Sci-Fi
tt1022603,(500) Days of Summer,2009.0,08-07-2009,95.0,PG-13,PG-13,7.7,448799.0,563.0,349.0,32391374,60722734,27.0,1048.0,USA,Fox Searchlight,Marc Webb,Nominated for 2 Golden Globes.,2145.0,4.0,1.0,Scott Neustadter,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Sum",7500000.0,Comedy Drama Romance
tt1179933,10 Cloverfield Lane,2016.0,03-11-2016,103.0,PG-13,PG-13,7.2,268631.0,700.0,514.0,72082998,110216998,3391.0,3427.0,USA,Paramount,Dan Trachtenberg,15 wins & 46 nominations.,2145.0,4.0,1.0,Josh Campbell,John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","After getting in a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question:",15000000.0,Drama Horror Mystery
tt1160368,12 Rounds,2009.0,03-27-2009,108.0,PG-13,PG-13,5.6,26261.0,118.0,117.0,12234694,17280326,2331.0,2331.0,USA,20th Century Fox,Renny Harlin,,2195.0,6.0,1.0,Daniel Kunka,John Cena,Aidan Gillen,Ashley Scott,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.","Uniformed New Orleans PD officer Danny Fisher earns his promotion to detective to his near-rather lucky, albeit brave, arrest of ruthless terrorist arms-dealer Miles Jackson, whose girlfriend Erica Kessen got accidentally killed during the dirty FBI-operation. Exactly a year later, Miles has escaped and blows up Danny's house as foretaste of a Herculean race to accomplish twelve near-impossible tasks against the clock, otherwise his kidnapped girlfriend Molly will be killed. Yet at the end, another master-p",22000000.0,Action Crime Thriller
tt1413492,12 Strong,2018.0,01-19-2018,130.0,R,R,6.6,54143.0,313.0,167.0,45819713,67450815,3002.0,3018.0,USA,WB,Nicolai Fuglsig,3 nominations.,2385.0,10.0,3.0,Ted Tally,Chris Hemsworth,Michael Shannon,Michael Pe　a,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.",35000000.0,Action Drama History
tt2024544,12 Years a Slave,2013.0,11-08-2013,134.0,R,R,8.1,591906.0,814.0,609.0,56671993,187733202,19.0,1474.0,USA,Fox Searchlight,Steve McQueen,Won 3 Oscars.,2375.0,6.0,5.0,John Ridley,Chiwetel Ejiofor,Dwight Henry,Dickie Gravois,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Based on an incredible true story of one man's fight for survival and freedom. In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty personified by a malevolent slave owner, as well as unexpected kindnesses, Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.",20000000.0,Biography Drama History
tt1542344,127 Hours,2010.0,01-28-2011,94.0,R,R,7.6,330176.0,468.0,459.0,18335230,60738797,4.0,916.0,USA,Fox Searchlight,Danny Boyle,Nominated for 6 Oscars.,2145.0,4.0,1.0,Danny Boyle,James Franco,Kate Mara,Amber Tamblyn,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he can be rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the",18000000.0,Biography Drama
tt0450232,16 Blocks,2006.0,03-03-2006,102.0,PG-13,PG-13,6.6,122860.0,313.0,193.0,36895141,65664721,2706.0,2706.0,USA,WB,Richard Donner,2 nominations.,2295.0,10.0,1.0,Richard Wenk,Bruce Willis,Yasiin Bey,David Morse,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.","Jack Mosley, a burnt-out detective, is assigned the unenviable task of transporting a fast-talking convict from jail to a courthouse 16 blocks away. However, along the way he learns that the man is supposed to testify against Mosley's colleagues, and the entire NYPD wants him dead. Mosley must choose between loyalty to his colleagues and protecting the witness, and never has such a short distance seemed so long...",52000000.0,Action Crime Drama
tt0974661,17 Again,2009.0,04-17-2009,102.0,PG-13,PG-13,6.3,170237.0,209.0,193.0,64167069,136267476,3255.0,3255.0,USA,WB (NL),Burr Steers,3 wins & 5 nominations.,2285.0,6.0,3.0,Jason Filardi,Zac Efron,Leslie Mann,Thomas Lennon,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,"At 17 Mike O'Donnell is on top of the world: he's the star of his high school basketball team, is a shoo-in for a college scholarship, and is dating his soul-mate, Scarlet. But at what's supposed to be his big game where a college scout is checking him out, Scarlet reveals that she's pregnant. Mike decides to leave the game and asks Scarlet to marry him, which she does. During their marriage, Mike can only whine about the life he lost because he married her, so she throws him out. When he also loses his job",20000000.0,Comedy Drama Fantasy
tt0841044,2 Days in Paris,2007.0,08-31-2007,96.0,R,R,6.8,29288.0,105.0,146.0,4433994,19776159,10.0,148.0,Fra,Gold.,Julie Delpy,2 wins & 5 nominations.,2070.0,1.0,1.0,Julie Delpy,Adam Goldberg,Julie Delpy,Daniel Br　hl,"Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends.","2 Jours - 2 Days follows two days in the relationship of a New York based couple - a French photographer Marion and American interior designer Jack - as they attempt to re-infuse their relationship with romance by taking a vacation in Europe. Their trip to Venice didn't really work out, - they both came down with gastroenteritis. They have higher hopes for Paris. But the combination of Marion's overbearing non-English-speaking parents, flirtatious ex-boyfriends, and Jack's obsession with photographing every",61000000.0,Comedy Drama Romance
tt1272878,2 Guns,2013.0,08-02-2013,109.0,R,R,6.7,185092.0,199.0,274.0,75612460,131940411,3025.0,3028.0,USA,Universal,Baltasar Korm,3 wins.,2295.0,10.0,1.0,Blake Masters,Denzel Washington,Mark Wahlberg,Paula Patton,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.","Robert Trench, an undercover DEA agent, takes advantage of gunman Michael Stigman's idea to rob a bank to bust him and a mob boss. However, it proves too successful with much more money seized than anticipated with Trench's forces not stopping the getaway. Complicating things still more, Stigman turns out to be a Naval Intelligence agent who shoots Trench and takes the money. The interservice debacle suddenly finds Trench and Stigman in a bloody web of corrupt clandestine rivalries as they are hunted, black",7000000.0,Action Comedy Thriller
tt4385888,20th Century Women,2016.0,01-20-2017,119.0,R,R,7.3,34032.0,98.0,217.0,5664764,7214806,4.0,650.0,USA,A24,Mike Mills,Nominated for 1 Oscar.,2145.0,4.0,1.0,Mike Mills,Annette Bening,Elle Fanning,Greta Gerwig,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.","Love, life, and the struggles of a mother bringing up a son in the the late 70's. The ignorance of a free spirit against the needs of a young man trying to find his true character and beliefs. Living in a bohemian household shared with 3 like minded spirited people to help pay the rent, his mother tries to establish bonds that he cannot deal with. She cannot deal with his inability to talk, and enlists the help of other females in his life to share the burden of his upbringing. Slowly life unravels for them",42000000.0,Comedy Drama
tt1232829,21 Jump Street,2012.0,03-16-2012,109.0,R,R,7.2,486385.0,388.0,385.0,138447667,201585328,3121.0,3148.0,USA,Sony Pictures/Columbia,Phil Lord,11 wins & 20 nominations.,2295.0,10.0,1.0,Michael Bacall,Jonah Hill,Channing Tatum,Brie Larson,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"In high school, Schmidt (Jonah Hill) was a dork and Jenko (Channing Tatum) was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",50000000.0,Action Comedy Crime
tt2294449,22 Jump Street,2014.0,06-13-2014,112.0,R,R,7.0,326626.0,352.0,343.0,191719337,331333876,3306.0,3426.0,USA,Sony Pictures/Columbia,Phil Lord,7 wins & 24 nominations.,2295.0,10.0,1.0,Michael Bacall,Jonah Hill,Channing Tatum,Peter Stormare,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","After making their way through high school (twice), big changes are in store for officers Schmidt (Jonah Hill) and Jenko (Channing Tatum) when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen in",30000000.0,Action Comedy Crime
tt0988595,27 Dresses,2008.0,01-18-2008,111.0,PG-13,PG-13,6.1,147107.0,166.0,178.0,76808654,160259319,3057.0,3074.0,USA,20th Century Fox,Anne Fletcher,5 wins & 3 nominations.,2195.0,6.0,1.0,Aline Brosh McKenna,Brian Kerwin,Charli Barcena,Peyton List,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","Two things about Jane: she never says no to her friends (she's been a bridesmaid 27 times and selflessly plans friends' weddings), and she's in love with her boss, George, nurturing dreams of a lovely, romantic wedding of her own. She meets Kevin, a cynical writer who finds her attractive, and that same week her flirtatious younger sister Tess comes to town. Jane silently watches George fall for Tess, a manipulative pretender. Worse, Jane may be called upon to plan their wedding. Meanwhile, Kevin tries to g",15000000.0,Comedy Romance
tt0463854,28 Weeks Later,2007.0,05-11-2007,100.0,R,R,7.0,245782.0,762.0,282.0,28638916,64238440,2303.0,2305.0,UK,FoxA,Juan Carlos Fresn,2 wins & 13 nominations.,2095.0,2.0,1.0,Rowan Joffe,Robert Carlyle,Rose Byrne,Jeremy Renner,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.","28 Weeks Later picks up six months after the Rage Virus has decimated the city of London. The US Army has restored order and is repopulating the quarantined city, when a carrier of the Rage Virus enters London and unknowingly re-ignites the spread of the deadly infection and the nightmare begins... again.",28000000.0,Horror Sci-Fi
tt2172934,3 Days to Kill,2014.0,02-21-2014,117.0,PG-13,PG-13,6.2,83022.0,240.0,220.0,30697999,52597999,2872.0,2872.0,USA,Rela.,McG,,2145.0,4.0,1.0,Adi Hasak,Kevin Costner,Amber Heard,Hailee Steinfeld,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,"Dying of brain cancer, a dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter, whom he's previously kept at arm's length to keep out of danger; but first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunt down the world's most ruthless terrorist and look after his teenage daughter for the first time in ten years while his wife is out of town.",30000000.0,Action Drama Thriller
tt0389722,30 Days of Night,2007.0,10-19-2007,113.0,R,R,6.6,157974.0,562.0,300.0,39569000,75505977,2855.0,2859.0,USA,Sony Pictures/Columbia,David Slade,13 nominations.,2195.0,6.0,1.0,Steve Niles,Josh Hartnett,Melissa George,Danny Huston,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.","This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",28000000.0,Action Horror Thriller
tt1622547,30 Minutes or Less,2011.0,08-12-2011,83.0,R,R,6.1,89074.0,137.0,224.0,37053924,40547440,2888.0,2888.0,USA,Sony Pictures/Columbia,Ruben Fleischer,,2195.0,6.0,1.0,Michael Diliberti,Jesse Eisenberg,Danny McBride,Aziz Ansari,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...","The not so smart Dwayne intends to open a massage parlor with his partner Travis, but he does not have money for the investment. He decides to hire a hit-man to kill his father, The Major, who won a large amount of money in the lottery years ago, but the killer demands US$ 100,000 for the job. Dwayne and Travis kidnap the pizza delivery boy Nick and they dress Nick in a vest with a timer and several bombs. Then Dwayne tells Nick that he has ten hours to rob US$ 100,000 from a bank. Once he does, he would gi",5300000.0,Action Comedy Crime
